0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,25,25,25,25,25,0,20,25,25,25,25,25,25,25,25,25,25,0,25,25,25,25,25,23,25,0,25,25,0,25,25,25,25,25,23,25,24,25,25,25,20,25,25,25,25,0,25,25,0,25,0,25,25,15,25,25,0,25,25,0,25,25,0,12,25,25,25,0,0,25,18,25,0,0,25,25,25,0,25,21,25,25,15,25,20,25,21,25,25,25,25,24,25,25,25,0,0,25,0
20,25,25,25,25,5,25,25,25,25,25,25,25,25,25,25,25,25,25,25,13,25,25,25,0,25,25,25,25,0,25,25,0,0,0,25,25,0,21,0,25,25,25,25,25,25,25,25,25,25,25,25,25,0,25,0,25,25,0,7,25,25,21,0,25,25,0,25,0,0,25,0,25,0,25,21,25,25,25,25,25,25,25,25,25,25,16,24,25,25,17,25,0,25,25,25,25,0,25,25
17,25,25,25,25,16,25,25,25,25,25,25,25,25,25,25,25,25,25,25,7,25,25,25,0,25,25,25,25,0,25,25,0,25,12,25,25,0,0,4,25,25,25,25,25,25,25,25,25,0,25,25,25,0,25,0,25,25,18,0,25,25,25,0,25,25,25,25,0,14,25,25,25,0,25,19,25,25,25,25,25,25,25,25,25,25,25,0,25,25,25,25,0,25,25,25,25,0,25,25
25,25,25,25,25,25,25,25,25,25,0,25,25,25,18,25,3,25,25,25,25,0,0,0,25,25,0,21,25,25,0,25,25,25,25,23,25,25,25,25,25,0,25,25,16,0,25,25,25,21,0,25,25,25,19,25,25,1,25,25,21,25,0,25,17,0,25,8,25,0,0,0,25,0,25,25,0,16,25,25,25,25,25,25,25,25,16,0,20,25,25,21,25,25,25,25,16,25,25,25
25,25,25,25,21,25,25,0,0,25,0,0,25,0,0,25,20,25,25,23,25,0,25,0,8,25,0,25,24,25,25,0,25,25,1,0,25,25,25,25,2,0,25,25,25,25,17,9,0,25,5,0,24,0,25,0,0,0,25,25,25,25,25,0,25,0,0,25,25,25,25,25,25,25,25,25,20,0,25,18,25,25,25,25,25,25,25,25,25,25,15,0,25,0,0,0,25,25,0,0
0,34,34,0,23,34,34,11,34,34,34,34,34,34,33,34,34,34,33,34,34,34,34,34,4,34,34,34,34,0,34,34,0,34,34,34,34,34,34,34,34,34,34,34,34,34,23,17,34,0,34,0,20,34,34,0,14,34,34,34,34,34,34,8,34,34,33,11,0,0,34,34,34,34,34,34,34,34,0,34,34,34,34,34,24,34,34,34,34,34,34,34,26,34,34,34,34,0,25,32
0,34,34,34,6,0,34,34,34,34,34,34,34,34,27,34,34,34,34,34,28,34,34,34,0,25,34,34,34,0,34,34,0,34,5,0,34,0,0,0,34,34,34,34,34,34,13,34,32,0,33,34,34,0,29,26,34,34,34,0,34,17,0,0,34,34,34,34,0,33,34,34,34,0,34,34,34,34,34,34,34,34,34,22,34,24,34,0,34,34,0,34,0,34,0,25,34,0,34,34
26,34,34,0,0,34,0,0,33,34,34,34,34,25,34,34,26,34,29,34,34,34,34,34,0,26,34,34,34,0,32,34,34,34,34,34,34,34,34,34,34,15,34,34,34,26,0,19,2,0,34,0,34,34,24,34,34,34,34,28,15,34,34,34,34,34,34,0,34,0,34,0,25,34,34,34,34,34,34,34,28,34,26,0,34,34,34,0,34,33,34,33,0,34,25,34,34,0,34,7
34,34,34,25,34,34,0,22,34,34,0,34,34,34,30,0,34,34,34,0,34,34,34,34,17,34,20,34,34,33,34,34,34,34,34,0,34,24,34,32,34,34,26,34,0,34,33,34,33,24,34,33,34,34,34,0,26,0,34,34,34,34,34,0,34,34,0,34,0,34,34,34,34,34,34,34,34,34,25,34,34,34,34,0,34,34,23,34,34,0,3,21,34,0,34,34,31,0,0,0
0,34,34,26,20,34,0,34,34,34,17,34,34,34,0,34,34,34,34,34,34,34,34,34,0,34,3,24,34,34,34,34,34,34,34,0,34,0,34,34,23,34,34,34,25,34,34,34,34,34,34,0,25,34,34,0,0,0,34,34,34,34,34,0,24,33,0,34,34,34,34,34,34,34,34,34,34,34,0,26,34,34,34,34,34,34,34,34,34,34,34,33,34,0,34,24,34,0,0,25
34,34,34,34,34,34,34,34,0,34,29,34,34,0,0,34,17,34,34,19,34,0,0,0,34,34,0,0,32,34,34,0,34,34,0,0,34,34,34,28,34,0,29,34,34,21,34,34,34,34,34,0,27,0,18,0,34,0,34,34,34,33,34,31,23,0,0,34,34,0,34,34,34,34,0,34,0,0,34,30,34,33,34,34,32,34,34,34,0,34,34,34,34,0,34,0,34,34,0,24
34,34,34,23,34,34,33,20,34,34,0,33,34,0,0,34,0,34,34,22,34,0,34,0,34,34,0,34,34,26,34,34,34,34,34,34,34,34,34,34,34,26,34,34,20,34,33,27,34,22,0,0,34,34,34,18,34,25,34,34,34,34,34,34,34,33,34,34,34,0,34,34,34,34,34,34,3,25,34,34,34,34,34,34,34,34,34,34,34,34,34,28,34,0,34,34,34,25,33,27
34,34,34,34,34,34,33,0,0,34,33,34,34,31,25,34,0,34,34,34,34,0,34,34,33,34,0,34,34,34,34,34,34,34,33,34,34,34,34,34,34,5,34,34,34,34,34,17,8,0,34,0,25,34,34,0,34,0,34,34,34,34,34,23,33,0,34,0,34,0,34,34,34,34,0,34,0,28,0,34,34,34,34,34,34,34,34,34,0,34,34,34,34,0,14,34,32,0,0,29
34,34,34,34,34,34,34,0,32,34,0,0,34,0,0,34,32,34,34,34,34,0,28,0,34,34,0,34,34,34,34,0,34,34,0,14,34,34,34,34,0,11,34,27,34,34,34,29,34,34,26,0,33,0,34,0,8,0,34,34,34,34,34,34,34,0,0,34,34,0,34,34,34,34,34,34,0,6,34,34,34,34,34,34,34,34,34,34,34,34,34,0,34,0,25,0,34,34,0,17
0,34,34,0,30,34,22,33,34,34,34,10,25,34,34,34,11,34,0,26,34,34,34,34,33,26,34,34,34,0,34,34,34,32,34,25,34,34,23,34,34,34,33,34,34,34,0,25,32,0,34,0,34,34,0,34,0,34,34,0,0,34,34,0,34,34,34,25,34,0,34,31,34,34,34,34,34,34,34,34,34,34,34,33,34,33,34,0,0,34,0,34,29,34,33,32,34,0,34,34
34,34,34,34,34,34,34,0,34,34,0,0,34,33,33,34,0,34,0,26,34,0,34,34,34,34,34,0,34,34,34,34,34,34,34,34,34,34,34,34,33,0,34,34,34,34,34,0,29,0,34,0,33,32,34,0,34,0,34,34,34,34,34,34,30,0,34,34,34,34,34,34,34,34,21,34,0,34,0,34,34,34,34,34,34,34,34,34,0,34,34,33,34,0,6,22,11,0,0,34
34,34,34,34,34,34,30,34,33,34,33,34,34,6,0,34,34,33,0,16,34,0,0,34,34,34,34,0,34,0,34,34,34,34,34,27,34,23,33,34,34,0,34,34,34,34,34,30,34,0,33,0,34,34,0,0,34,0,34,34,34,34,34,34,34,34,34,34,34,0,34,34,34,34,28,34,2,34,34,34,34,34,34,0,34,34,34,34,0,34,0,34,34,0,34,34,33,0,0,34
34,34,34,34,34,25,34,34,33,34,0,0,34,34,0,33,0,34,0,34,0,0,33,34,0,0,34,0,21,34,34,34,34,34,34,34,34,32,34,34,0,34,31,0,34,34,34,25,0,34,34,25,34,34,34,4,34,0,34,34,34,34,34,34,34,0,8,32,34,34,34,34,34,34,32,34,0,15,0,0,34,34,25,34,34,34,34,34,0,34,34,28,34,0,19,0,33,0,0,34
32,34,34,0,34,34,0,0,34,34,33,34,34,34,34,34,25,34,0,0,34,34,34,34,34,34,34,34,34,0,34,34,25,34,34,34,34,34,34,34,34,34,34,34,34,34,0,0,0,0,26,0,34,34,34,0,1,34,34,34,25,34,34,0,34,34,34,34,34,27,34,34,6,34,0,34,34,34,34,8,34,34,34,0,34,34,33,34,0,34,24,34,33,20,0,4,21,0,0,29
34,34,34,34,23,24,32,34,0,34,0,34,34,0,0,34,34,34,34,27,34,0,15,0,32,34,0,0,32,34,34,34,34,34,13,0,32,29,34,23,33,0,34,0,34,19,19,30,34,34,0,0,15,0,0,0,34,0,34,34,34,34,0,34,34,0,26,34,27,0,34,34,34,33,0,34,0,31,34,32,34,33,26,34,34,29,34,34,34,34,34,0,33,0,0,0,30,34,0,34
34,34,34,0,34,34,0,0,34,34,34,34,34,34,33,34,34,34,34,34,34,32,34,34,34,34,26,13,34,34,34,34,34,34,34,0,34,34,34,34,34,34,34,34,34,34,34,20,34,0,34,0,34,34,34,0,34,0,34,34,34,34,34,0,9,34,0,25,34,0,34,32,34,34,34,34,14,34,0,34,34,34,34,34,34,34,34,34,0,34,34,34,34,0,34,32,34,0,0,34
0,34,1,34,10,27,34,33,34,34,34,34,0,34,28,34,27,34,34,33,34,34,34,34,0,34,34,34,34,0,32,34,0,34,0,34,27,0,26,30,34,34,34,34,34,34,19,34,29,0,34,34,34,32,0,34,34,34,34,0,33,34,32,29,34,34,34,33,0,0,34,34,34,0,34,34,34,34,34,34,34,34,34,27,0,34,34,0,34,34,34,34,0,34,34,27,34,0,34,34
34,34,34,0,34,34,0,25,34,34,34,34,34,33,34,25,19,34,34,34,34,34,33,34,34,34,0,24,34,0,24,34,34,34,34,34,34,34,34,34,34,34,34,34,33,34,34,34,34,0,34,0,34,34,33,0,34,0,34,34,34,34,34,0,0,34,34,34,34,0,34,34,34,34,34,34,0,34,0,34,34,34,34,34,34,34,34,34,14,34,34,34,34,34,34,34,34,0,0,34
33,34,34,26,34,34,34,0,0,34,32,5,34,34,34,34,0,34,32,34,34,13,34,34,34,25,4,25,34,34,34,34,34,34,34,34,34,34,34,34,34,0,34,0,34,34,33,25,0,25,34,0,34,34,34,33,34,0,34,34,34,34,34,26,33,25,34,0,34,0,34,34,32,34,0,34,34,34,0,34,0,34,34,33,34,31,34,34,0,34,34,34,31,0,0,21,27,0,34,34
0,34,34,0,19,34,10,23,25,34,34,34,34,0,21,33,34,14,34,34,34,34,34,34,26,34,34,34,34,0,34,22,34,34,34,34,34,34,34,0,34,34,34,34,34,34,0,17,34,0,34,0,34,34,34,0,0,34,34,34,0,31,34,0,34,34,0,34,0,0,34,34,34,34,25,34,34,34,34,34,34,34,34,10,34,34,34,34,33,34,17,34,0,34,34,34,34,0,0,18
33,34,34,0,26,13,0,5,0,34,34,34,34,34,0,32,34,34,0,0,34,34,34,34,0,34,28,34,34,33,34,34,24,34,34,0,26,34,34,34,34,5,34,34,34,34,0,29,34,0,24,0,25,34,34,0,34,14,34,34,34,34,34,26,34,34,34,14,34,0,34,34,0,34,0,34,34,34,0,16,34,34,34,0,34,34,34,34,34,11,34,34,34,0,0,34,0,0,0,11
0,34,34,34,34,0,34,34,34,34,28,34,34,34,0,34,34,34,32,29,34,34,34,34,25,27,34,28,34,0,34,27,16,34,34,0,3,18,34,34,34,34,34,34,0,34,28,19,34,0,0,0,0,34,34,0,28,33,34,23,0,34,34,34,34,34,34,5,33,0,34,34,17,34,34,0,14,34,1,34,34,34,34,34,34,34,34,34,34,34,34,0,34,34,0,34,34,0,16,34
0,34,34,34,25,0,25,34,34,34,34,34,34,34,0,34,34,34,34,34,34,34,34,34,0,7,34,34,34,0,34,11,13,34,34,33,0,34,34,34,34,34,34,34,0,34,0,34,34,0,0,33,0,34,34,0,34,34,34,0,0,34,34,34,34,34,34,34,32,0,24,34,0,0,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,0,34,32
34,34,25,34,34,34,34,24,0,34,0,0,34,34,0,34,0,34,0,0,34,0,31,34,34,33,34,0,34,34,34,34,18,34,34,34,34,34,34,34,34,0,34,0,34,34,34,1,0,0,34,13,34,24,34,22,34,0,34,34,34,34,34,34,34,0,34,0,34,34,34,34,24,34,0,28,0,24,0,0,31,34,30,26,34,26,34,34,0,34,33,34,34,0,18,13,0,0,0,34
34,34,34,34,25,34,34,0,0,25,0,0,34,19,0,34,0,34,34,25,34,0,34,0,34,34,32,34,5,34,34,0,34,34,26,34,34,34,34,34,34,0,34,34,7,34,34,1,0,34,27,0,34,7,34,0,33,0,34,34,34,34,34,34,34,0,3,34,34,34,34,34,34,34,0,34,0,0,32,27,34,34,34,34,34,34,34,34,0,34,34,0,34,0,27,0,26,0,0,34
25,34,34,34,34,0,34,34,34,34,34,34,34,34,0,34,34,34,9,34,34,34,34,34,0,33,34,0,34,0,34,34,25,34,34,0,20,0,34,34,34,34,34,34,34,34,27,20,34,0,0,0,15,34,34,0,34,33,34,34,0,34,34,34,34,34,34,33,34,0,34,34,0,30,34,31,26,34,0,33,34,34,34,30,34,34,34,34,34,34,34,0,34,34,0,34,34,0,0,34
34,34,34,0,34,34,0,0,34,34,32,34,34,0,34,34,34,34,0,0,34,0,26,34,34,34,34,17,34,0,34,34,0,34,34,34,34,34,20,34,34,0,33,34,34,34,0,22,34,0,34,0,34,34,33,0,3,11,26,34,26,34,34,34,34,34,34,34,34,0,34,34,22,34,0,34,34,34,0,34,34,34,34,0,34,34,34,34,0,34,25,34,34,28,0,34,0,0,17,24
25,25,25,25,25,25,25,25,0,25,0,17,25,0,7,25,0,25,12,25,25,0,22,0,25,25,21,0,25,25,25,25,17,25,24,21,25,25,25,25,25,0,25,25,25,25,25,18,20,24,25,0,25,0,0,0,25,0,25,25,25,25,0,25,19,0,25,25,25,25,25,25,25,25,0,25,0,0,20,0,25,25,25,25,25,20,25,25,0,25,25,23,25,0,0,5,25,0,0,25
0,25,25,0,25,25,25,20,25,25,25,25,25,25,17,25,25,25,25,25,25,25,25,25,24,25,25,25,25,0,25,25,20,25,25,25,25,25,25,13,25,25,25,25,25,25,25,22,24,0,25,0,25,25,25,0,14,25,25,25,23,25,25,20,25,25,25,22,25,0,25,25,25,25,25,25,25,25,0,25,25,25,25,25,16,25,25,25,0,25,23,25,13,25,25,25,25,0,1,25
0,25,0,0,0,24,25,25,25,25,25,25,25,25,0,25,25,25,25,25,25,25,25,25,0,25,25,23,25,0,25,25,25,25,25,25,25,18,25,19,25,25,25,25,25,25,19,20,25,0,25,25,25,25,25,0,25,0,0,14,25,25,25,11,25,25,25,18,0,22,25,25,25,0,25,25,25,25,0,25,25,25,25,19,0,22,25,19,25,25,25,25,10,25,25,25,25,0,25,25
25,25,23,25,25,25,21,25,25,25,21,25,25,0,0,25,3,25,17,25,25,0,0,0,25,25,0,0,25,13,25,25,20,25,22,0,12,18,25,25,25,0,25,25,25,0,25,25,25,21,25,0,25,25,19,25,25,0,25,15,25,25,0,25,24,0,25,20,25,0,25,0,25,19,25,25,0,0,25,25,25,25,25,25,13,25,25,0,0,25,0,25,25,0,25,25,25,25,25,25
24,25,21,0,25,25,0,25,25,25,0,21,25,25,16,25,25,20,24,0,25,25,25,25,25,25,25,25,25,0,25,25,25,21,25,0,25,25,25,25,25,25,25,25,25,25,0,12,12,15,23,0,25,25,25,0,0,23,25,25,0,25,0,25,25,25,0,0,25,3,24,25,25,25,20,25,25,25,24,25,25,25,25,0,25,19,25,25,17,25,0,25,0,20,25,25,25,0,0,25
25,25,25,25,25,0,25,25,25,25,14,25,25,25,20,25,25,25,25,25,0,25,25,21,0,25,25,25,25,0,25,25,0,25,0,25,0,0,0,0,25,25,25,25,24,25,25,25,25,21,11,25,25,0,0,25,25,25,0,0,25,25,25,0,25,25,25,25,0,25,17,25,25,0,25,24,25,16,25,25,25,25,25,25,25,0,25,22,25,25,25,0,0,25,0,0,25,0,25,25
25,25,25,0,25,20,0,25,25,25,18,25,25,25,25,25,25,25,25,25,25,25,25,25,0,25,11,25,25,0,25,25,25,25,25,25,25,0,25,25,25,16,25,25,25,25,0,25,25,0,25,15,25,25,21,25,25,25,25,25,0,25,25,0,25,25,25,25,25,0,25,21,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,6,25,21,14,24,25,18,25,25,25,0,25,25
0,25,24,0,25,25,0,25,25,25,25,25,25,25,0,25,0,25,0,25,25,25,25,25,0,25,25,25,25,0,25,25,25,25,25,25,25,3,25,25,25,25,25,25,25,25,0,25,25,0,25,0,25,25,25,0,25,25,25,25,25,25,25,0,25,25,25,21,25,0,25,25,20,25,21,25,25,25,25,18,25,25,25,25,25,25,25,20,25,25,25,25,14,25,24,25,21,0,25,19
0,25,25,0,25,25,0,12,25,25,25,25,25,25,25,25,20,25,25,22,25,25,25,25,0,25,25,24,25,0,25,25,18,25,25,0,25,0,25,25,25,25,20,21,25,25,25,25,0,0,25,0,25,25,25,0,25,24,25,25,25,25,25,0,25,25,25,25,25,25,25,25,24,25,0,25,25,25,25,17,25,25,23,0,25,25,25,25,0,25,21,25,25,0,22,23,17,0,0,0
25,25,21,0,17,25,0,0,25,25,25,25,25,25,0,25,25,25,25,25,25,25,23,25,25,25,25,0,25,9,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,9,0,0,25,0,25,22,25,0,25,0,12,25,25,25,25,25,25,23,17,0,25,25,25,22,25,0,25,21,25,24,0,0,25,25,25,0,24,25,25,25,0,25,25,25,25,0,25,21,25,0,0,16
0,25,25,0,0,0,4,25,25,25,20,25,25,0,0,21,25,25,25,25,25,25,25,25,12,25,20,25,25,0,25,4,25,25,25,25,20,0,25,25,25,25,25,25,25,25,0,25,25,0,4,25,25,25,0,0,25,25,25,13,0,23,25,25,25,25,25,25,0,0,25,25,18,0,25,25,25,25,25,25,25,25,25,0,25,25,25,0,25,25,25,6,0,25,0,25,25,0,25,17
